pais_nombre,provincia_nombre,ciudad_nombre,territorio_key
España,Huesca,Huesca,7632ad2d128f8ceb964a2a27abbce2d9
España,Córdoba,Lucena,8b1e753813958b4d8fb4681f5f7e88bb
España,Toledo,La Puebla de Montalbán,9d7b4e455eafea41c7a2904e58c01eae
España,Valencia/València,Silla,92638205676b572f41369cb17a7dbcb0
España,Zaragoza,Pedrola,68344590c47006af5137b736d47c8c1d
España,Melilla,Melilla,1e5b97be05ef06262b57884bcf5aba7e
España,Alicante/Alacant,Santa Pola,c605b8c727c9acaf932f4b2f2682ebd5
España,Sevilla,Tomares,c2a53b8d6c5929c18c6c6e5373e739af
España,Islas Baleares/Illes Balears,Montuïri,0efa372f97abc73bd499bf631dedb724
España,Las Palmas,San Bartolomé de Tirajana,a0440379a311cf6fc76bf87a2166953a
España,Girona,Viladrau,557a8ae61f7f35fa81a68a140baa64c1
España,Palencia,Frómista,783e6036092412686d69a5dd67e2d113
España,Girona,Sant Feliu de Guíxols,658e4cda881bdb85223a0b37b156e1bb
España,Valencia/València,Cheste,97d210b02112e4284e564e66ddd2568e
España,Navarra,Aranguren,1d0afec549c5140bd51438d2e28dba23
España,Palencia,Palencia,2618c838770b9b1b2aca6fc5673e93f2
España,Madrid,San Sebastián de los Reyes,c42a72e29e3981f39e7a39e68d6f9679
España,Barcelona,La Garriga,0256bb54dc9d1912af0aa107bf6ddcb0
España,Madrid,Torres de la Alameda,cef8395d2757b8febb534080d0376480
España,Badajoz,Orellana La Vieja,37ddcc8a689a8dea550328ddda9d3914
España,Barcelona,Castellbisbal,527cb31b838aa43554269e58aaaae1df
España,Madrid,Tres Cantos,72ca87d812c21e215a781857646f574b
España,León,Villadangos del Páramo,0c0f5e1c846865a55e75b07334159a42
España,Murcia,San Pedro del Pinatar,d94f22fbbc64d47ff86f8e992c3a63ba
España,Valencia/València,Torrent,1cbc7b51170315088536e4d27c1689c2
España,Barcelona,Sant Feliu de Llobregat,e2be9b5353fbcae939ad8b3c6228fc45
España,Vizcaya/Bizkaia,Mungia,b2f8eeef04766341a68d64bd9890a851
España,Barcelona,Olèrdola,c3c637add0289165a79dbc4e31e3f8a6
España,Lugo,Lugo,ba1b992b4c670c4c967dbdc9fd6b803f
España,Castellón/Castelló,L'Alcora,a1fdd19aebd36ecc4890c3674ce5e3b2
España,Barcelona,Lliçà d'Amunt,f889e3a3c4d3167d33871eef429a2709
España,Tarragona,Salou,2e207fb05e8f9c767854793c8998b014
España,Cantabria,Potes,c8ca68006a0e6269b7a350d956cfe9e3
España,Barcelona,Sant Quirze del Vallès,ce6d1646c4d0b5275afad9c424dbc6c0
España,A Coruña,As Pontes de García Rodríguez,e421c97370b085fba63325aa6b524548
España,Las Palmas,Yaiza,e3ce0164fcf072fb511debd5639392ec
España,Valencia/València,Massamagrell,fdbeec9390616bda242fee097d7fb196
España,Valencia/València,Paterna,1579b98a78f843e8649fb11572d7a0d6
España,Jaén,Alcaudete,9b23de72a4919c8cdf64cce5d576f3c8
España,Barcelona,Sant Celoni,c29aae99149eb416d6a04f907300ec26
España,Barcelona,Sant Andreu de la Barca,a796236eebbcfa81ff38e5ed846ac5f6
España,Madrid,Alcorcón,2c2985a118604c98b28ce5a2631efdad
España,Lleida,Sidamon,e56d8d3721bf3d26032c4243fe05ec91
España,Toledo,Las Ventas de Retamosa,ba983537f62a2133ab12b0ba7299aef0
