oferta_id,compania_nombre,compania_key
3b477d067b4c6da1dca11f78c46a50,*DISWORK,3019de206fe982b21f244e1f06c4c69f
56c93b2fac43059a0805276f2b5441,MELT GROUP,bf9b94bb8afe5e5884142e5b86edb580
7bb6d12331488d929c9796de7f48ae,HAYS Working for your Tomorrow,42e2361bb11b1742cac916e7a8899470
f4996d806c4a87ba22dba470f653c2,Farmacia Puerto Rico,0713bdbcc07e74115ba36b4b7b7360cc
73eeca1a754eb097967e3166445472,GESEME,1ff889489041e9a43f25469ddd1f3fe3
d4988f15e04cf187051e06dc7270b2,Intelcia,68f4c6d37e19332bd049b0c1bd9fd3d8
a4ccc6f7b94886bd51781b8471b21b,NizaCars,6f64ae9775a2da7f5fa4a5726f0ceb49
78e635f29a492d8fb4aef08498fbe8,Especialistas en trabajo temporal,8f2a4a1d70cadc019a65d04d2408d55a
bef5fefab6452a8e2d81afe6b75a68,MST Holding,cae23dfa51e3c90349a7e871101514d0
02b990ad2142adad023b7785c62fb6,Vitae Caps,c146554b713c1410433c26617fbb0d6f
634fede1314f708dab20ab1d0337e9,Energiand Operaciones S.L,93eceacdb0487084c54053eafcb37c06
95ab77e329470395981d7a68035be6,KIABI TIENDAS,59f5e9e32ed1c74f1dbb9dd46b26fb47
197c49879141cfbff34ea92788db12,AMBISEINT AMBIENTACION E HIGIENE SL,c18eab0611527d0d0afdc62da1700b8f
920bbb43584867af3873dd8477172b,Hotelsa FoodService,63e46e295e1cf8b88f411fd8655eb2ac
91886154524b1fa0fc4c2f69082829,AS CONSULTING,60e7612ab58af04e8c101b997e901379
b01ee4aa3b46398a48118411728fda,MAHLE ELECTRONICS S.L.U.,506c37f9b5b8acbfbc4d54de0311e5c2
72c36836c84293be14cd89dacbbf2b,LEYTON IBERIA,b4f77336b8929b4af27a4d9aa5b41e1b
51acd4a23d4627b625ab6200a702b4,"FARGUELL INDUSTRIAS METÁLICAS, S.A",7edceffd6bc724bc406c98bef31971d3
609752a1f841d29f5aa407ba918a58,ANANDA,7000da04e7da64c6497d708f3955a54c
