oferta_id,idioma_nombre,idioma_key
b4c8e328b84cce9d290ac5228941e0,Español,de92bbe05815c4eb756acb5897baa99c
b9dab4e7304338901c9cc0bd63d1bc,Inglés,216df59d4dca0cc05c7678221afc6c97
b17aa4d0fc4d94bf7e8319bc95400f,Español,de92bbe05815c4eb756acb5897baa99c
c62903fed54fd28e75b2206bfa7c22,Español,de92bbe05815c4eb756acb5897baa99c
a1cb5854904c3383ed89dac067602f,Catalán,556b72c736a95cf0df525527a236a079
e62aae18a34374b1b72d1d8e8fa0bd,Inglés,216df59d4dca0cc05c7678221afc6c97
e62aae18a34374b1b72d1d8e8fa0bd,Español,de92bbe05815c4eb756acb5897baa99c
7ab946157d458eb913640ccae60e81,Inglés,216df59d4dca0cc05c7678221afc6c97
e392182dc54190a7125fa3e5089a4a,Inglés,216df59d4dca0cc05c7678221afc6c97
f4e4f3b3e04848bd576b6ce7a32a0b,Euskera,4f25669c017990a8a0d89bf2eee3d184
f4e4f3b3e04848bd576b6ce7a32a0b,Español,de92bbe05815c4eb756acb5897baa99c
3b4e2092ad4ec288d9ad0e1cea464d,Francés,75357f6288b1eb7180e56d572a16a0cd
3b4e2092ad4ec288d9ad0e1cea464d,Inglés,216df59d4dca0cc05c7678221afc6c97
f943ac256e4cac94d90a011a24716b,Inglés,216df59d4dca0cc05c7678221afc6c97
97540a6a16418ca930c7c1a54a0f6d,Español,de92bbe05815c4eb756acb5897baa99c
077f9ca6b14d64885e2178eec0a2f8,Español,de92bbe05815c4eb756acb5897baa99c
077f9ca6b14d64885e2178eec0a2f8,Catalán,556b72c736a95cf0df525527a236a079
5f1679be644d86843d94dfe76ea1de,Español,de92bbe05815c4eb756acb5897baa99c
77619c551c436cb1a21114a30aef58,Inglés,216df59d4dca0cc05c7678221afc6c97
1fc2f4ac30440ab84fb5d8b9986421,Inglés,216df59d4dca0cc05c7678221afc6c97
755798dfad4250b757d8474d81ab4a,Catalán,556b72c736a95cf0df525527a236a079
755798dfad4250b757d8474d81ab4a,Español,de92bbe05815c4eb756acb5897baa99c
497b748565470695b859677cd20982,Inglés,216df59d4dca0cc05c7678221afc6c97
5fb9ae9b844332827c4488d8746a55,Catalán,556b72c736a95cf0df525527a236a079
f938fcb5c24bd9a27d6b64841099b7,Inglés,216df59d4dca0cc05c7678221afc6c97
5d86704c674512b5b6c4f068a239f1,Inglés,216df59d4dca0cc05c7678221afc6c97
33c69094064061a6fd9ffa5a33cce1,Español,de92bbe05815c4eb756acb5897baa99c
33c69094064061a6fd9ffa5a33cce1,Catalán,556b72c736a95cf0df525527a236a079
cebed4bc274873852d26c75dffc89a,Español,de92bbe05815c4eb756acb5897baa99c
b3ce49f693477e8ab3cd74ef7265b9,Español,de92bbe05815c4eb756acb5897baa99c
0c59f448844e789ddb2512e99b8a43,Español,de92bbe05815c4eb756acb5897baa99c
3148f9095e443c9a74b5eeb521b54d,Catalán,556b72c736a95cf0df525527a236a079
bdd9930fbc465c87abbe1376cf533c,Español,de92bbe05815c4eb756acb5897baa99c
bdd9930fbc465c87abbe1376cf533c,Inglés,216df59d4dca0cc05c7678221afc6c97
026e76890e4e22ac754115afada526,Inglés,216df59d4dca0cc05c7678221afc6c97
bc46ef0dc54b6682b1c6906088a9ac,Inglés,216df59d4dca0cc05c7678221afc6c97
bc46ef0dc54b6682b1c6906088a9ac,Español,de92bbe05815c4eb756acb5897baa99c
6e7302f70b497e9165a291c1eaa4ca,Español,de92bbe05815c4eb756acb5897baa99c
6e7302f70b497e9165a291c1eaa4ca,Catalán,556b72c736a95cf0df525527a236a079
3ad55d184d4794a3444d04d3511055,Español,de92bbe05815c4eb756acb5897baa99c
77ad8fd8a748a8be4b15b8d306b4b6,Inglés,216df59d4dca0cc05c7678221afc6c97
